Date,National-US,Gold Price,SP500,Oil Price,Inflation Rate,FED Effective Rate,GDP,Unemployment
1995-03-01,81.09,386.7988518041939,520.805275214555,19.124191415436158,3.04847718145701,6.010031574297359,0.7870471012401171,5.6093896630911795
1995-04-01,81.44,387.20854009772296,537.160583595639,18.571551001207155,3.0377540668798138,5.957897452441009,1.4561766779952723,5.6680524362100995
1995-05-01,81.68,385.3797774410191,548.6068962580283,18.207530703003215,2.9815364167912346,5.869791541122966,2.1786076592064907,5.662245933120184
1995-06-01,81.76,384.5420243674238,562.3541054248749,18.018114378240274,2.937754066879814,5.827319820593989,1.9676177531002927,5.648477181457009
1995-07-01,81.75,383.6771280179623,572.5121529403694,17.756716490642294,2.9515228185429883,5.7815328589555826,1.5933394437493604,5.602760866003936
1995-08-01,81.66,383.8963841372137,582.5161260215814,17.89328226284249,2.9622459331201845,5.779181136502007,1.8051320604853778,5.5892768854228025
1995-09-01,81.54,385.1889285854287,596.7459384800371,18.274743455919054,2.9834703823328876,5.721523818563164,1.630311852568814,5.578775550787297
1995-10-01,81.46,390.2058047365245,605.2447510769465,18.485303404025107,2.9999999999999996,5.654899006342432,1.4241753359949338,5.583470382332887
1995-11-01,81.43,396.2560420474988,623.6190040441095,18.832758251972233,2.9650067991241222,5.489183979108166,1.680640194245007,5.565006799124122
1995-12-01,81.7,397.7677264922151,635.4412340766754,19.815113695830163,2.902760866003937,5.386469555246502,1.5178765523916546,5.537754066879814
1996-01-01,82.15,397.3827286230854,642.2323169281174,21.20564324026433,2.8192904836710486,5.300728159088057,2.965810140075187,5.551522818542988
1996-02-01,82.63,395.32670790532916,652.460571532646,21.49513173255677,2.7542836845469263,5.2461006444666065,4.481707184653352,5.562245933120185
1996-03-01,83.08,390.56395306490055,658.4492542827071,21.428528048354266,2.716529617667111,5.2578238027871995,4.047670806377746,5.478490779705255
1996-04-01,83.45,387.31129401485333,654.8823761198646,21.396235760950034,2.6999999999999997,5.300859017541272,2.4848809044395224,5.483248602391197
1996-05-01,83.68,386.66523985895697,658.6038500173404,21.30169554921623,2.6650067991241224,5.282973066179528,2.3030995254468616,5.334107915738198
1996-06-01,83.74,384.798664156287,663.9613242565988,22.252374221381178,2.6727472677556916,5.294463378117121,2.080053053277453,5.25295023306091
1996-07-01,83.66,383.38008810542544,676.4990347856211,23.407751237555647,2.64378234991142,5.278554137771423,2.116303491345866,5.228364403788633
1996-08-01,83.59,381.44168089133376,701.3795296875951,23.7848544554367,2.6212244492127024,5.273923986607312,2.6765751241679743,5.253456784084642
1996-09-01,83.52,376.4250238630791,721.0132459708884,24.53319971503644,2.6165296176671116,5.28649128360922,2.417358953808931,5.32449186624037
1996-10-01,83.56,368.05272298123276,742.77139776778,24.814541509256145,2.5650067991241223,5.271982800658632,1.795562786838011,5.331947563789898
1996-11-01,83.63,358.8207177001447,767.5522585403091,23.88420445250133,2.537754066879814,5.247411629759821,1.9296239267257487,5.302760866003936
1996-12-01,83.94,354.0906205488508,780.2675870920607,22.88685686002352,2.516529617667112,5.2892506889464865,1.7427471527459737,5.254283684546926
1997-01-01,84.36,348.8441536359208,779.3159197558422,21.470034279301913,2.569986401751754,5.3664014778916895,2.6819966019848622,5.181536416791234
1997-02-01,84.9,346.38834481592147,799.8190659865892,20.77140887295552,2.554505464488616,5.4281365643224095,3.8592478534514973,5.067767665128059
1997-03-01,85.44,344.43305334450747,826.7626611917248,20.061186661654713,2.5074556975495272,5.504935786012972,3.4854943054919474,5.027030952302617
1997-04-01,85.88,336.1917388338111,865.695027958525,19.803804528956956,2.470813302214038,5.525003241288471,2.8444827409065616,4.960311967578531
1997-05-01,86.19,330.82856596632905,900.3320798137778,19.86832605062773,2.381536416791234,5.532182496326833,3.2367885222496433,4.886231248336824
1997-06-01,86.35,326.2462575059231,921.8266180846193,19.72190493406627,2.3027608660039367,5.539061033690881,2.923317804606149,4.889276885422803
1997-07-01,86.44,323.8880238614456,937.9533633184942,20.344091182486014,2.2892768854228036,5.522696796116226,1.944329345842019,4.808789149035542
1997-08-01,86.67,317.76306449517506,939.9218105481431,20.3782347132545,2.2437823499114202,5.5221002669271,1.9296239267257487,4.723985315216639
1997-09-01,86.89,306.8169221339411,949.4097154533526,19.71661967583175,2.2212244492127025,5.512062393515706,1.7427471527459737,4.7058065030899145
1997-10-01,87.2,298.6407334299846,955.8863292078089,18.657272751268,2.2165296176671117,5.525240810368065,1.9121461827155626,4.643782349911419
